Request_ID,Source,Destination,Latency_ms,Fidelity
0,router_0_1,router_0_0,1.5000,0.949813
1,router_0_1,router_0_0,3.0001,0.949813
2,router_0_1,router_0_0,0.5000,0.949813
3,router_0_1,router_0_0,0.5000,0.949813
4,router_0_1,router_0_0,1.0000,0.949813
5,router_0_1,router_0_0,0.5000,0.949813
7,router_0_1,router_0_0,0.5000,0.949813
8,router_0_1,router_0_0,0.5000,0.949813
8,router_0_1,router_0_0,0.5000,0.949813
9,router_0_1,router_0_0,0.5000,0.949813
9,router_0_1,router_0_0,0.5000,0.949813
10,router_0_1,router_0_0,0.5000,0.949813
12,router_0_1,router_0_0,1.0000,0.949813
13,router_0_1,router_0_0,1.5000,0.949813
14,router_0_1,router_0_0,0.5000,0.949813
15,router_0_1,router_0_0,4.0001,0.949813
17,router_0_1,router_0_0,1.5000,0.949813
18,router_0_1,router_0_0,4.5001,0.949813
18,router_0_1,router_0_0,0.5000,0.949813
19,router_0_1,router_0_0,1.0000,0.949813
20,router_0_1,router_0_0,2.0000,0.949813
20,router_0_1,router_0_0,1.0000,0.949813
21,router_0_1,router_0_0,0.5000,0.949813
22,router_0_1,router_0_0,2.0000,0.949813
24,router_0_1,router_0_0,3.5001,0.949813
25,router_0_1,router_0_0,0.5000,0.949813
25,router_0_1,router_0_0,1.5000,0.949813
26,router_0_1,router_0_0,1.5000,0.949813
28,router_0_1,router_0_0,1.5000,0.949813
29,router_0_1,router_0_0,0.5000,0.949813
30,router_0_1,router_0_0,0.5000,0.949813
30,router_0_1,router_0_0,3.0001,0.949813
32,router_0_1,router_0_0,0.5000,0.949813
33,router_0_1,router_0_0,0.5000,0.949813
34,router_0_1,router_0_0,1.5000,0.949813
35,router_0_1,router_0_0,1.0000,0.949813
36,router_0_1,router_0_0,1.5000,0.949813
37,router_0_1,router_0_0,3.0001,0.949813
38,router_0_1,router_0_0,1.0000,0.949813
39,router_0_1,router_0_0,1.0000,0.949813
40,router_0_1,router_0_0,0.5000,0.949813
41,router_0_1,router_0_0,2.0000,0.949813
42,router_0_1,router_0_0,1.5000,0.949813
43,router_0_1,router_0_0,1.0000,0.949813
44,router_0_1,router_0_0,1.0000,0.949813
45,router_0_1,router_0_0,0.5000,0.949813
46,router_0_1,router_0_0,1.0000,0.949813
47,router_0_1,router_0_0,1.0000,0.949813
48,router_0_1,router_0_0,1.5000,0.949813
49,router_0_1,router_0_0,1.5000,0.949813
50,router_0_1,router_0_0,1.5000,0.949813
51,router_0_1,router_0_0,0.5000,0.949813
52,router_0_1,router_0_0,0.5000,0.949813
53,router_0_1,router_0_0,1.0000,0.949813
54,router_0_1,router_0_0,4.0001,0.949813
55,router_0_1,router_0_0,0.5000,0.949813
56,router_0_1,router_0_0,5.5001,0.949813
57,router_0_1,router_0_0,2.5001,0.949813
58,router_0_1,router_0_0,2.0000,0.949813
59,router_0_1,router_0_0,0.5000,0.949813
60,router_0_1,router_0_0,0.5000,0.949813
61,router_0_1,router_0_0,1.5000,0.949813
62,router_0_1,router_0_0,0.5000,0.949813
63,router_0_1,router_0_0,2.0000,0.949813
65,router_0_1,router_0_0,1.0000,0.949813
66,router_0_1,router_0_0,0.5000,0.949813
66,router_0_1,router_0_0,1.0000,0.949813
67,router_0_1,router_0_0,1.5000,0.949813
68,router_0_1,router_0_0,0.5000,0.949813
69,router_0_1,router_0_0,0.5000,0.949813
70,router_0_1,router_0_0,3.0001,0.949813
71,router_0_1,router_0_0,0.5000,0.949813
73,router_0_1,router_0_0,0.5000,0.949813
74,router_0_1,router_0_0,0.5000,0.949813
75,router_0_1,router_0_0,0.5000,0.949813
75,router_0_1,router_0_0,1.5000,0.949813
76,router_0_1,router_0_0,0.5000,0.949813
77,router_0_1,router_0_0,0.5000,0.949813
78,router_0_1,router_0_0,1.0000,0.949813
79,router_0_1,router_0_0,0.5000,0.949813
80,router_0_1,router_0_0,1.0000,0.949813
81,router_0_1,router_0_0,0.5000,0.949813
82,router_0_1,router_0_0,1.5000,0.949813
83,router_0_1,router_0_0,0.5000,0.949813
84,router_0_1,router_0_0,1.0000,0.949813
85,router_0_1,router_0_0,4.5001,0.949813
86,router_0_1,router_0_0,1.0000,0.949813
87,router_0_1,router_0_0,1.0000,0.949813
88,router_0_1,router_0_0,1.0000,0.949813
89,router_0_1,router_0_0,0.5000,0.949813
90,router_0_1,router_0_0,0.5000,0.949813
91,router_0_1,router_0_0,1.0000,0.949813
92,router_0_1,router_0_0,0.5000,0.949813
92,router_0_1,router_0_0,0.5000,0.949813
93,router_0_1,router_0_0,2.0000,0.949813
95,router_0_1,router_0_0,1.0000,0.949813
96,router_0_1,router_0_0,0.5000,0.949813
97,router_0_1,router_0_0,0.5000,0.949813
98,router_0_1,router_0_0,1.5000,0.949813
98,router_0_1,router_0_0,1.5000,0.949813
99,router_0_1,router_0_0,1.0000,0.949813
101,router_0_1,router_0_0,4.0001,0.949813
102,router_0_1,router_0_0,0.5000,0.949813
103,router_0_1,router_0_0,0.5000,0.949813
103,router_0_1,router_0_0,1.0000,0.949813
105,router_0_1,router_0_0,0.5000,0.949813
106,router_0_1,router_0_0,1.5000,0.949813
107,router_0_1,router_0_0,1.5000,0.949813
108,router_0_1,router_0_0,1.0000,0.949813
108,router_0_1,router_0_0,1.0000,0.949813
110,router_0_1,router_0_0,1.0000,0.949813
111,router_0_1,router_0_0,0.5000,0.949813
112,router_0_1,router_0_0,1.0000,0.949813
112,router_0_1,router_0_0,0.5000,0.949813
113,router_0_1,router_0_0,3.0001,0.949813
114,router_0_1,router_0_0,0.5000,0.949813
116,router_0_1,router_0_0,1.0000,0.949813
117,router_0_1,router_0_0,0.5000,0.949813
