Request_ID,Latency_ms,Fidelity
0,0.3000,0.928780
1,1.6000,0.778803
2,4.1001,0.655955
3,2.1000,0.793485
4,0.8000,0.861208
5,1.2000,0.765532
6,1.8000,0.875578
8,0.2000,0.927674
9,0.8000,0.949293
35,0.6000,0.825709
42,1.2000,0.782887
88,0.7000,0.857272
189,1.3000,0.818267
194,1.9001,0.825164
322,0.8000,0.786797
386,0.2000,0.825141
648,0.3000,0.724361
856,0.3000,0.875900
908,5.8001,0.870140
909,1.0000,0.949813
910,0.4000,0.949813
915,3.6000,0.696541
921,3.1001,0.875455
922,2.0001,0.949813
1870,0.4000,0.949813
1889,3.4001,0.807880
1892,0.7000,0.878464
