Request_ID,Latency_ms,Fidelity
0,0.5000,0.864082
1,1.1000,0.877794
2,0.5000,0.838322
3,1.9000,0.883339
4,4.1001,0.617400
5,0.8000,0.859428
6,0.5000,0.949813
12,2.9001,0.786519
13,1.4000,0.809102
15,0.5000,0.949813
19,0.6000,0.957842
21,0.5000,0.817590
33,0.5000,0.806126
47,0.8000,0.883582
51,0.2000,0.944768
52,0.2000,0.957879
59,2.8001,0.949813
129,0.2000,0.906212
298,0.2000,0.783182
304,0.2000,0.948367
440,0.2000,0.870753
602,5.6001,0.646971
604,1.8000,0.877961
605,0.8000,0.878464
606,0.8000,0.878464
616,1.8000,0.877292
619,0.3000,0.944888
621,0.5000,0.949813
1246,2.1000,0.809813
1249,0.4000,0.949813
